id,number,title,level,type,flags,course,day,lesson,depth,note
sec-get-dataview.prototype.byteoffset,25.3.4.3,get DataView.prototype.byteOffset,4,built-in function,,,,,,
sec-dataview.prototype.constructor,25.3.4.4,DataView.prototype.constructor,4,,,,,,,
sec-dataview.prototype.getbigint64,25.3.4.5,"DataView.prototype.getBigInt64 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getbiguint64,25.3.4.6,"DataView.prototype.getBigUint64 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getfloat16,25.3.4.7,"DataView.prototype.getFloat16 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getfloat32,25.3.4.8,"DataView.prototype.getFloat32 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getfloat64,25.3.4.9,"DataView.prototype.getFloat64 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getint8,25.3.4.10,DataView.prototype.getInt8 ( byteOffset ),4,built-in function,,,,,,
sec-dataview.prototype.getint16,25.3.4.11,"DataView.prototype.getInt16 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getint32,25.3.4.12,"DataView.prototype.getInt32 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getuint8,25.3.4.13,DataView.prototype.getUint8 ( byteOffset ),4,built-in function,,,,,,
sec-dataview.prototype.getuint16,25.3.4.14,"DataView.prototype.getUint16 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.getuint32,25.3.4.15,"DataView.prototype.getUint32 ( byteOffset [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setbigint64,25.3.4.16,"DataView.prototype.setBigInt64 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setbiguint64,25.3.4.17,"DataView.prototype.setBigUint64 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setfloat16,25.3.4.18,"DataView.prototype.setFloat16 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setfloat32,25.3.4.19,"DataView.prototype.setFloat32 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setfloat64,25.3.4.20,"DataView.prototype.setFloat64 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setint8,25.3.4.21,"DataView.prototype.setInt8 ( byteOffset, value )",4,built-in function,,,,,,
sec-dataview.prototype.setint16,25.3.4.22,"DataView.prototype.setInt16 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setint32,25.3.4.23,"DataView.prototype.setInt32 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setuint8,25.3.4.24,"DataView.prototype.setUint8 ( byteOffset, value )",4,built-in function,,,,,,
sec-dataview.prototype.setuint16,25.3.4.25,"DataView.prototype.setUint16 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype.setuint32,25.3.4.26,"DataView.prototype.setUint32 ( byteOffset, value [ , littleEndian ] )",4,built-in function,,,,,,
sec-dataview.prototype-%symbol.tostringtag%,25.3.4.27,DataView.prototype [ %Symbol.toStringTag% ],4,,,,,,,
sec-properties-of-dataview-instances,25.3.5,Properties of DataView Instances,3,,,,,,,
sec-atomics-object,25.4,The Atomics Object,2,,,,,,,
sec-waiter-record,25.4.1,Waiter Record,3,,,,,,,
sec-waiterlist-records,25.4.2,WaiterList Records,3,,,,,,,
sec-abstract-operations-for-atomics,25.4.3,Abstract Operations for Atomics,3,,,,,,,
sec-validateintegertypedarray,25.4.3.1,"ValidateIntegerTypedArray ( typedArray, waitable )",4,abstract operation,,,,,,
sec-validateatomicaccess,25.4.3.2,"ValidateAtomicAccess ( taRecord, requestIndex )",4,abstract operation,,,,,,
sec-validateatomicaccessonintegertypedarray,25.4.3.3,"ValidateAtomicAccessOnIntegerTypedArray ( typedArray, requestIndex )",4,abstract operation,,,,,,
sec-revalidateatomicaccess,25.4.3.4,"RevalidateAtomicAccess ( typedArray, byteIndexInBuffer )",4,abstract operation,,,,,,
sec-getwaiterlist,25.4.3.5,"GetWaiterList ( block, i )",4,abstract operation,,,,,,
sec-entercriticalsection,25.4.3.6,EnterCriticalSection ( WL ),4,abstract operation,,,,,,
