path,title,page_type,status,browser_compat,course,day,lesson,depth,note
Web/JavaScript/Reference/Errors/Regex_backslash_at_end_of_pattern,SyntaxError: \ at end of pattern,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_character_class_escape_in_class_range,SyntaxError: character class escape cannot be used in class range in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_duplicate_capture_group_name,SyntaxError: duplicate capture group name in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_incomplete_quantifier,SyntaxError: incomplete quantifier in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_capture_group_name,SyntaxError: invalid capture group name in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_char_in_class,SyntaxError: invalid character in class in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_class_set_operation,SyntaxError: invalid class set operation in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_decimal_escape,SyntaxError: invalid decimal escape in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_group,SyntaxError: invalid regexp group,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_identity_escape,SyntaxError: invalid identity escape in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_named_capture_reference,SyntaxError: invalid named capture reference in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_property_name,SyntaxError: invalid property name in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_range_in_character_class,SyntaxError: invalid range in character class,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_invalid_unicode_escape,SyntaxError: invalid unicode escape in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_negated_char_class_with_strings,SyntaxError: negated character class with strings in regular expression,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_nothing_to_repeat,SyntaxError: nothing to repeat,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_numbers_out_of_order_in_quantifier,SyntaxError: numbers out of order in {} quantifier.,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Regex_raw_bracket,SyntaxError: raw bracket is not allowed in regular expression with unicode flag,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Requires_global_RegExp,TypeError: matchAll/replaceAll must be called with a global RegExp,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Reserved_identifier,"SyntaxError: ""x"" is a reserved identifier",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Rest_with_default,SyntaxError: rest parameter may not have a default,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Resulting_string_too_large,RangeError: repeat count must be less than infinity,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Setter_one_argument,SyntaxError: setter functions must have one argument,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Stmt_after_return,Warning: unreachable code after return statement,javascript-error,,,,,,,
